epoch,update,step,loss,mean_cost,distance,vehicles,entropy,grad_norm,effective_step,best_mean_cost,lr,grad_ema,alpha_gate,moe_aux,router_entropy,expert_min,expert_mean,expert_max,usage_var,usage_maxmin_ratio,overflow,overflow_ratio,node_feat_mean,node_feat_std,node_feat_min,node_feat_max,dyn_feat_mean,dyn_feat_std,dyn_feat_min,dyn_feat_max,cand_feat_mean,cand_feat_std,cand_feat_min,cand_feat_max
1,200,200,124.3454825540632,6466.406596679688,2317.8198889160158,11.8869873046875,1.162086768746376,46.80705545425415,0.014040653793868672,6466.406596679688,0.0002999687473951656,,0.0,,,,,,,,,,0.35090079173445704,0.3133469820022583,0.0,1.0,0.4740738746523857,0.3550353807210922,0.0,1.0,0.21880630917847158,0.25542264074087145,0.0,1.0
2,400,400,12.43171347208321,5323.315441894531,1799.6000128173828,10.1640185546875,0.729224206507206,52.27664155960083,0.015676458059627744,5323.315441894531,0.00029987500328908744,,0.0,,,,,,,,,,0.350307227820158,0.312604156434536,0.0,1.0,0.47407387316226957,0.35503539025783537,0.0,1.0,0.21881284639239312,0.2552371424436569,0.0,1.0
3,600,600,6.371238933205604,5132.341071777344,1727.5299908447266,9.88458984375,0.6221798327565193,57.901236839294434,0.0173540897335796,5132.341071777344,0.0002997188088010292,,0.0,,,,,,,,,,0.35074907541275024,0.31291421234607697,0.0,1.0,0.4740738746523857,0.3550353853404522,0.0,1.0,0.2189523785561323,0.2552606040984392,0.0,1.0
4,800,800,4.649265533983708,5011.760046386718,1686.0751062011718,9.7176171875,0.5677246361970901,63.774858493804935,0.0191005849429175,5011.760046386718,0.00029950023244305473,,0.0,,,,,,,,,,0.35109623536467555,0.3134416453540325,0.0,1.0,0.47407387420535085,0.355035410374403,0.0,1.0,0.21884720005095004,0.2555086097866297,0.0,1.0
5,1000,1000,-6.403913508355617,4931.785891113282,1673.3495819091797,9.58341796875,0.5064057670533657,76.13267084121703,0.022780369812376692,4931.785891113282,0.00029921937008997926,,0.0,,,,,,,,,,0.35041978701949117,0.3127794094383717,0.0,1.0,0.47407387420535085,0.35503538727760314,0.0,1.0,0.21887556537985803,0.2552321686595678,0.0,1.0
6,1200,1200,-10.38472798421979,4861.713372802735,1644.4295428466796,9.524462890625,0.46905856907367705,75.98587877273559,0.022710381714444988,4861.713372802735,0.0002988763449373132,,0.0,,,,,,,,,,0.35062864735722543,0.31291368961334226,0.0,1.0,0.4740738746523857,0.3550353166460991,0.0,1.0,0.21878554247319698,0.255351257994771,0.0,1.0
7,1400,1400,-14.3179084193334,4785.444689941406,1638.3109985351562,9.37875,0.43584206089377403,88.37545658111573,0.02637753807201117,4785.444689941406,0.00029847130744722607,,0.0,,,,,,,,,,0.34992422685027125,0.3115999895334244,0.0,1.0,0.4740738746523857,0.35503532737493515,0.0,1.0,0.2188259457051754,0.2543644563853741,0.0,1.0
8,1600,1600,-1.6183178676851093,4715.085565185547,1616.9577294921876,9.294208984375,0.42285385414958,86.89290176391602,0.0258944701202176,4715.085565185547,0.0002980044352825467,,0.0,,,,,,,,,,0.3509023030102253,0.3130392505228519,0.0,1.0,0.4740738745033741,0.35503540083765983,0.0,1.0,0.21886759638786316,0.2552127569913864,0.0,1.0
9,1800,1800,-12.31841072820127,4703.616745605469,1621.8543090820312,9.307197265625,0.3925367924571037,97.154751663208,0.028901200418628783,4703.616745605469,0.0002974759332288378,,0.0,,,,,,,,,,0.3503603607416153,0.3124615654349327,0.0,1.0,0.47407387420535085,0.3550354105234146,0.0,1.0,0.21887164205312729,0.2549885435402393,0.0,1.0
10,2000,2000,-5.770118344724178,4627.963659667968,1600.5400177001952,9.204931640625,0.3887821942567825,99.53708171844482,0.02955116933819419,4627.963659667968,0.0002968860331045669,,0.0,,,,,,,,,,0.35015518859028816,0.3120713257789612,0.0,1.0,0.4740738745033741,0.3550354826450348,0.0,1.0,0.21868040710687636,0.2546349230408669,0.0,1.0
11,2200,2200,2.167002660930157,4625.433538818359,1600.1431781005858,9.2611083984375,0.3831660407781601,96.33810682296753,0.028538718463862793,4625.433538818359,0.00029623499365942496,,0.0,,,,,,,,,,0.3505213841795921,0.3126252266764641,0.0,1.0,0.47407387316226957,0.3550354036688805,0.0,1.0,0.21872338123619556,0.2550510156899691,0.0,1.0
12,2400,2400,-21.538905355781317,4573.283258056641,1595.6717199707032,9.1773486328125,0.3645157378911972,106.79367393493652,0.03155999763085531,4573.283258056641,0.00029552310046082944,,0.0,,,,,,,,,,0.3511039179563522,0.3130742709338665,0.0,1.0,0.47407387524843214,0.35503553807735444,0.0,1.0,0.2189207363128662,0.25527817748487,0.0,1.0
13,2600,2600,-25.032937560379505,4516.728908691406,1588.7374884033204,9.086904296875,0.3504250122606754,111.46223514556885,0.03285356801721999,4516.728908691406,0.0002947506657686657,,0.0,,,,,,,,,,0.3503021076321602,0.3118065419793129,0.0,1.0,0.47407387346029284,0.35503547251224515,0.0,1.0,0.21882699392735958,0.25439430207014085,0.0,1.0
14,2800,2800,-17.59162795692682,4494.913850097656,1587.2568969726562,9.0861669921875,0.3445123052597046,112.16219860076905,0.032966492273558745,4494.913850097656,0.0002939180283983191,,0.0,,,,,,,,,,0.3507254067063332,0.31273218169808387,0.0,1.0,0.47407387554645536,0.35503545418381693,0.0,1.0,0.21896105505526064,0.2550832292437553,0.0,1.0
15,3000,3000,-9.528171368539333,4464.4925146484375,1575.6632916259766,9.0906201171875,0.33710793644189835,116.20615917205811,0.03405137411987514,4464.4925146484375,0.0002930255535720591,,0.0,,,,,,,,,,0.35037432715296746,0.31221015751361847,0.0,1.0,0.47407387480139734,0.3550355149805546,0.0,1.0,0.21883271008729935,0.254792892113328,0.0,1.0
16,3200,3200,-14.345065630193858,4415.5301440429685,1570.4571600341797,9.015888671875,0.3276743437349796,122.43272529602051,0.035759370845773956,4415.5301440429685,0.000292073632758841,,0.0,,,,,,,,,,0.35053370594978334,0.31215919211506843,0.0,1.0,0.4740738745033741,0.3550353363156319,0.0,1.0,0.21875171437859536,0.2544699039310217,0.0,1.0
17,3400,3400,-19.694375581545756,4407.344008789062,1568.735259399414,9.0592578125,0.32805511251091957,123.51911918640137,0.03595180629427076,4407.344008789062,0.0002910626835025943,,0.0,,,,,,,,,,0.3511028228700161,0.31332405894994736,0.0,1.0,0.47407387375831606,0.35503548741340635,0.0,1.0,0.21897812880575657,0.2553883857280016,0.0,1.0
18,3600,3600,-26.455259939581154,4388.739134521485,1570.0491064453124,9.059990234375,0.320096490085125,123.09003658294678,0.03569526734864172,4388.739134521485,0.0002899931492390753,,0.0,,,,,,,,,,0.34999310299754144,0.3117679227888584,0.0,1.0,0.4740738719701767,0.3550354039669037,0.0,1.0,0.2188154474645853,0.2545975980907679,0.0,1.0
19,3800,3800,3.766471622809768,4343.101949462891,1560.2671490478515,9.009140625,0.3119965122640133,122.90077487945557,0.03550179367549795,4343.101949462891,0.00028886549910136106,,0.0,,,,,,,,,,0.3505726081132889,0.31270385533571243,0.0,1.0,0.4740738743543625,0.3550354625284672,0.0,1.0,0.2189813819527626,0.2550568622350693,0.0,1.0
20,4000,4000,-19.363899232521653,4325.14285522461,1555.7367510986328,9.0305029296875,0.31057688370347025,135.00407405853272,0.03883800276748596,4325.14285522461,0.0002876802277140707,,0.0,,,,,,,,,,0.3509078915417194,0.31310451596975325,0.0,1.0,0.4740738736093044,0.35503552466630933,0.0,1.0,0.21897695459425448,0.255428351983428,0.0,1.0
21,4200,4200,3.009319170564413,4299.1158520507815,1560.3202252197266,8.9957861328125,0.30829702168703077,134.21451877593995,0.03844411886487113,4299.1158520507815,0.0002864378549764084,,0.0,,,,,,,,,,0.3495575661957264,0.31124081909656526,0.0,1.0,0.4740738746523857,0.3550355811417103,0.0,1.0,0.21867987044155598,0.2541341416537762,0.0,1.0
22,4400,4400,8.994851092398166,4261.789079589844,1556.7048583984374,8.95046875,0.29965688049793243,141.13917251586915,0.04024427204429108,4261.789079589844,0.00028513892583411716,,0.0,,,,,,,,,,0.3512065614759922,0.3134508664906025,0.0,1.0,0.47407387584447863,0.35503542110323905,0.0,1.0,0.21894159235060215,0.2555176715552807,0.0,1.0
23,4600,4600,-11.425655126720667,4243.748549804687,1554.1392529296875,8.9651708984375,0.3068713104724884,146.68351249694825,0.04162643538320233,4243.748549804687,0.00028378401004044924,,0.0,,,,,,,,,,0.3504251350462437,0.3126345130801201,0.0,1.0,0.47407387420535085,0.35503545105457307,0.0,1.0,0.21881622083485128,0.25504389494657514,0.0,1.0
24,4800,4800,-11.44576496116817,4217.067861328125,1546.372607421875,8.968486328125,0.2914753187447786,154.84847667694092,0.0437251375938117,4217.067861328125,0.0002823737019062518,,0.0,,,,,,,,,,0.3507676112651825,0.31312375634908673,0.0,1.0,0.4740738740563393,0.35503546133637426,0.0,1.0,0.21891157545149326,0.2553330393135548,0.0,1.0
25,5000,5000,-0.9389498209953309,4188.335032958985,1544.0012225341798,8.9470361328125,0.2900347926467657,155.32497840881348,0.04363212534245136,4188.335032958985,0.0002809086200392839,,0.0,,,,,,,,,,0.3508705985546112,0.3128537930548191,0.0,1.0,0.47407387420535085,0.3550354588031769,0.0,1.0,0.21892395950853824,0.2551459415256977,0.0,1.0
26,5200,5200,-13.15810946650803,4166.27765625,1540.750767211914,8.9503076171875,0.292169363796711,153.85409004211425,0.04298520299260281,4166.27765625,0.0002793894070728736,,0.0,,,,,,,,,,0.351003045886755,0.31346453696489335,0.0,1.0,0.4740738745033741,0.3550353579223156,0.0,1.0,0.21895578674972058,0.2557229559123516,0.0,1.0
